Hour,Day,Weather,Holiday,Zone,Traffic
0,1,0,0,0,46
0,1,0,0,1,58
0,1,0,0,2,47
0,1,0,0,3,51
0,1,0,0,4,48
0,1,0,0,5,48
0,1,0,0,6,47
0,1,0,0,7,49
0,1,0,0,8,53
0,1,0,0,9,48
0,1,0,0,10,54
0,1,0,0,11,50
0,1,0,0,12,46
0,1,0,0,13,47
0,1,0,0,14,41
0,1,0,0,15,44
1,1,0,0,0,32
1,1,0,0,1,35
1,1,0,0,2,29
1,1,0,0,3,32
1,1,0,0,4,32
1,1,0,0,5,30
1,1,0,0,6,31
1,1,0,0,7,31
1,1,0,0,8,34
1,1,0,0,9,30
1,1,0,0,10,34
1,1,0,0,11,33
1,1,0,0,12,29
1,1,0,0,13,28
1,1,0,0,14,26
1,1,0,0,15,29
2,1,0,0,0,18
2,1,0,0,1,21
2,1,0,0,2,18
2,1,0,0,3,20
2,1,0,0,4,20
2,1,0,0,5,17
2,1,0,0,6,19
2,1,0,0,7,18
2,1,0,0,8,20
2,1,0,0,9,18
2,1,0,0,10,21
2,1,0,0,11,20
2,1,0,0,12,18
2,1,0,0,13,16
2,1,0,0,14,16
2,1,0,0,15,18
3,1,0,0,0,15
3,1,0,0,1,18
3,1,0,0,2,16
3,1,0,0,3,17
3,1,0,0,4,17
3,1,0,0,5,15
3,1,0,0,6,16
3,1,0,0,7,17
3,1,0,0,8,17
3,1,0,0,9,16
3,1,0,0,10,17
3,1,0,0,11,16
3,1,0,0,12,15
3,1,0,0,13,13
3,1,0,0,14,14
3,1,0,0,15,15
4,1,0,0,0,24
4,1,0,0,1,29
4,1,0,0,2,24
4,1,0,0,3,26
4,1,0,0,4,25
4,1,0,0,5,21
4,1,0,0,6,23
4,1,0,0,7,24
4,1,0,0,8,26
4,1,0,0,9,24
4,1,0,0,10,26
4,1,0,0,11,25
4,1,0,0,12,24
4,1,0,0,13,21
4,1,0,0,14,21
4,1,0,0,15,22
5,1,0,0,0,63
5,1,0,0,1,77
5,1,0,0,2,59
5,1,0,0,3,71
5,1,0,0,4,67
5,1,0,0,5,60
5,1,0,0,6,60
5,1,0,0,7,67
5,1,0,0,8,71
5,1,0,0,9,64
5,1,0,0,10,72
5,1,0,0,11,71
5,1,0,0,12,60
